Step 1, Loss=2.5063,Accuracy=0.102
Step 200, Loss=2.1095,Accuracy=0.219
Step 400, Loss=1.9888,Accuracy=0.320
Step 600, Loss=1.7491,Accuracy=0.430
Step 800, Loss=1.6631,Accuracy=0.477
Step 1000, Loss=1.6472,Accuracy=0.523
Step 1200, Loss=1.4381,Accuracy=0.492
Step 1400, Loss=1.5261,Accuracy=0.477
Step 1600, Loss=1.4210,Accuracy=0.531
Step 1800, Loss=1.1912,Accuracy=0.656
Step 2000, Loss=1.2698,Accuracy=0.562
Step 2200, Loss=1.2145,Accuracy=0.594
Step 2400, Loss=1.0969,Accuracy=0.727
Step 2600, Loss=1.1072,Accuracy=0.633
Step 2800, Loss=1.2811,Accuracy=0.578
Step 3000, Loss=1.0585,Accuracy=0.625
Step 3200, Loss=0.9284,Accuracy=0.734
Step 3400, Loss=0.8422,Accuracy=0.734
Step 3600, Loss=0.8540,Accuracy=0.727
Step 3800, Loss=0.9871,Accuracy=0.688
Step 4000, Loss=0.6855,Accuracy=0.812
Step 4200, Loss=0.8211,Accuracy=0.734
Step 4400, Loss=0.8036,Accuracy=0.750
Step 4600, Loss=0.9090,Accuracy=0.719
Step 4800, Loss=0.7577,Accuracy=0.758
Step 5000, Loss=0.7082,Accuracy=0.789
Step 5200, Loss=0.8487,Accuracy=0.727
Step 5400, Loss=0.8424,Accuracy=0.758
Step 5600, Loss=0.7537,Accuracy=0.727
Step 5800, Loss=0.5750,Accuracy=0.789
Step 6000, Loss=0.7011,Accuracy=0.719
Step 6200, Loss=0.6582,Accuracy=0.773
Step 6400, Loss=0.6683,Accuracy=0.789
Step 6600, Loss=0.6852,Accuracy=0.781
Step 6800, Loss=0.6143,Accuracy=0.781
Step 7000, Loss=0.5112,Accuracy=0.844
Step 7200, Loss=0.6595,Accuracy=0.758
Step 7400, Loss=0.5592,Accuracy=0.820
Step 7600, Loss=0.6110,Accuracy=0.812
Step 7800, Loss=0.5664,Accuracy=0.828
Step 8000, Loss=0.6130,Accuracy=0.789
Step 8200, Loss=0.4789,Accuracy=0.820
Step 8400, Loss=0.7264,Accuracy=0.773
Step 8600, Loss=0.4653,Accuracy=0.852
Step 8800, Loss=0.5444,Accuracy=0.875
Step 9000, Loss=0.6458,Accuracy=0.828
Step 9200, Loss=0.5483,Accuracy=0.820
Step 9400, Loss=0.4718,Accuracy=0.867
Step 9600, Loss=0.6480,Accuracy=0.820
Step 9800, Loss=0.5126,Accuracy=0.820
Step 10000, Loss=0.5317,Accuracy=0.852
Optimization Finished!
Testing Accuracy: 0.90625
