Step 1, Loss=2.9700, Accuracy= 0.023
Step 200, Loss=2.0543, Accuracy= 0.359
Step 400, Loss=1.7957, Accuracy= 0.422
Step 600, Loss=1.7082, Accuracy= 0.445
Step 800, Loss=1.6039, Accuracy= 0.469
Step 1000, Loss=1.4707, Accuracy= 0.570
Step 1200, Loss=1.5229, Accuracy= 0.547
Step 1400, Loss=1.3901, Accuracy= 0.625
Step 1600, Loss=1.2462, Accuracy= 0.578
Step 1800, Loss=1.1683, Accuracy= 0.648
Step 2000, Loss=1.2729, Accuracy= 0.555
Step 2200, Loss=1.2854, Accuracy= 0.586
Step 2400, Loss=1.1662, Accuracy= 0.664
Step 2600, Loss=1.0342, Accuracy= 0.695
Step 2800, Loss=1.1473, Accuracy= 0.648
Step 3000, Loss=1.0400, Accuracy= 0.664
Step 3200, Loss=1.0266, Accuracy= 0.656
Step 3400, Loss=0.9759, Accuracy= 0.656
Step 3600, Loss=0.8703, Accuracy= 0.719
Step 3800, Loss=0.8720, Accuracy= 0.750
Step 4000, Loss=0.7793, Accuracy= 0.719
Step 4200, Loss=0.9241, Accuracy= 0.727
Step 4400, Loss=0.6927, Accuracy= 0.789
Step 4600, Loss=0.8055, Accuracy= 0.742
Step 4800, Loss=0.7209, Accuracy= 0.812
Step 5000, Loss=0.7267, Accuracy= 0.812
Step 5200, Loss=0.6877, Accuracy= 0.727
Step 5400, Loss=0.7661, Accuracy= 0.781
Step 5600, Loss=0.6684, Accuracy= 0.789
Step 5800, Loss=0.8443, Accuracy= 0.758
Step 6000, Loss=0.7771, Accuracy= 0.727
Step 6200, Loss=0.5995, Accuracy= 0.836
Step 6400, Loss=0.7907, Accuracy= 0.750
Step 6600, Loss=0.4862, Accuracy= 0.852
Step 6800, Loss=0.5859, Accuracy= 0.805
Step 7000, Loss=0.6335, Accuracy= 0.805
Step 7200, Loss=0.7778, Accuracy= 0.750
Step 7400, Loss=0.4636, Accuracy= 0.852
Step 7600, Loss=0.4223, Accuracy= 0.891
Step 7800, Loss=0.6438, Accuracy= 0.766
Step 8000, Loss=0.4178, Accuracy= 0.875
Step 8200, Loss=0.5476, Accuracy= 0.812
Step 8400, Loss=0.4877, Accuracy= 0.852
Step 8600, Loss=0.4600, Accuracy= 0.875
Step 8800, Loss=0.5600, Accuracy= 0.828
Step 9000, Loss=0.4571, Accuracy= 0.852
Step 9200, Loss=0.4599, Accuracy= 0.859
Step 9400, Loss=0.3840, Accuracy= 0.859
Step 9600, Loss=0.4813, Accuracy= 0.836
Step 9800, Loss=0.4910, Accuracy= 0.883
Step 10000, Loss=0.3201, Accuracy= 0.891
Optimization Finished!
Testing Accuracy: 0.875
